number,Ward,Population,Households
1,Orléans,48789,18892
2,Innes,41211,15436
3,Barrhaven,58269,21259
4,Kanata North,36996,14490
5,West Carleton-March,25600,9071
6,Stittsville,32494,11195
7,Bay,45476,21099
8,College,52430,22147
9,Knoxdale-Merivale,39515,15948
10,Gloucester-Southgate,47233,18949
11,Beacon Hill-Cyrville,33416,13937
12,Rideau-Vanier,48536,27549
13,Rideau-Rockcliffe,38154,18670
14,Somerset,41569,25458
15,Kitchissippi,43258,20497
16,River,48512,21141
17,Capital,37440,17290
18,Alta Vista,44713,19975
19,Cumberland,46813,17556
20,Osgoode,27770,9736
21,Rideau-Goulbourn,27681,9807
22,Gloucester-South Nepean,49280,18039
23,Kanata South,48700,18238
